Frame Number,Player Coordinates,Resp Team,Ball Coordinates,Distance
4,"[100.41214722377619, 339.5505313930016]",0,"[130.1970852191068, 348.0301579651111]",30.96847749225193
4,"[166.81657134969907, 367.88526830448814]",1,"[130.1970852191068, 348.0301579651111]",41.65587798927634
4,"[181.93618275785883, 314.61983248319734]",0,"[130.1970852191068, 348.0301579651111]",61.58883066702849
4,"[152.5240571428389, 382.70703251164]",0,"[130.1970852191068, 348.0301579651111]",41.24293034689495
4,"[38.67348920609849, 360.3435893444448]",1,"[130.1970852191068, 348.0301579651111]",92.34819553995581
4,"[201.54893045547936, 372.85723109490635]",1,"[130.1970852191068, 348.0301579651111]",75.54779532737844
4,"[144.61948667996333, 250.9068121775746]",1,"[130.1970852191068, 348.0301579651111]",98.18833923060056
4,"[106.4802643104975, 253.63894078718442]",0,"[130.1970852191068, 348.0301579651111]",97.32517389833713
4,"[160.42441786622916, 91.15745722789006]",1,"[130.1970852191068, 348.0301579651111]",258.64507732217464
4,"[109.79109335916141, 378.8314921580191]",0,"[130.1970852191068, 348.0301579651111]",36.94762092275176
4,"[141.57579413052247, 188.94316063765268]",1,"[130.1970852191068, 348.0301579651111]",159.49340969192892
5,"[152.1800949828885, 511.0407103555199]",0,"[130.1970852191068, 348.0301579651111]",164.48614807606364
5,"[144.72711387800754, 248.4381626772651]",1,"[130.1970852191068, 348.0301579651111]",100.64634746598016
5,"[160.75324180472342, 86.88948508753391]",1,"[130.1970852191068, 348.0301579651111]",262.92228839761475
5,"[196.0658376905767, 194.50352227319513]",1,"[130.1970852191068, 348.0301579651111]",167.06022991432175
5,"[197.43093456224148, 281.19518536649906]",1,"[130.1970852191068, 348.0301579651111]",94.80139270998369
5,"[208.55305294086847, 304.9757738604012]",0,"[130.1970852191068, 348.0301579651111]",89.4054677760239
5,"[201.68136770802766, 371.05239705871173]",1,"[130.1970852191068, 348.0301579651111]",75.1001074289428
5,"[141.07505811186445, 312.11824289932196]",0,"[130.1970852191068, 348.0301579651111]",37.52327195152392
5,"[100.6487802772669, 336.34725491770683]",0,"[130.1970852191068, 348.0301579651111]",31.774086116692775
5,"[186.17817647751875, 373.1979635228526]",0,"[130.1970852191068, 348.0301579651111]",61.378343208944074
5,"[167.16395293382882, 367.997948745218]",1,"[130.1970852191068, 348.0301579651111]",42.01502085297449
5,"[210.02684249781885, 370.6078745451911]",0,"[130.1970852191068, 348.0301579651111]",82.96109590132292
5,"[127.58332023610163, 342.47609796066496]",1,"[130.1970852191068, 348.0301579651111]",6.138350749132218
5,"[152.88387229538503, 382.39753469277264]",0,"[130.1970852191068, 348.0301579651111]",41.18017594650851
5,"[182.18288708457055, 313.49528630082807]",0,"[130.1970852191068, 348.0301579651111]",62.411384830523915
5,"[106.41717898479004, 250.21576736231336]",0,"[130.1970852191068, 348.0301579651111]",100.66349362857211
5,"[242.12240631906164, 225.26375036992013]",1,"[130.1970852191068, 348.0301579651111]",166.12907131852796
5,"[38.6641093361469, 357.3101107011252]",1,"[130.1970852191068, 348.0301579651111]",92.00219126071495
5,"[110.9608426454207, 377.74745246023633]",0,"[130.1970852191068, 348.0301579651111]",35.39986752042578
5,"[193.74311455154003, 358.4195803573551]",1,"[130.1970852191068, 348.0301579651111]",64.38973475300953
5,"[142.01105983973966, 183.79925873591458]",1,"[130.1970852191068, 348.0301579651111]",164.6552709692813
6,"[144.8548765628245, 247.03010376126406]",1,"[131.0693584319242, 345.69116208525065]",99.61950080052833
6,"[161.19586655909728, 82.43521313376013]",1,"[131.0693584319242, 345.69116208525065]",264.9741518531315
6,"[101.10877695499956, 335.93422090003486]",0,"[131.0693584319242, 345.69116208525065]",31.50927393208546
6,"[152.5645879283014, 510.8027707752711]",0,"[131.0693584319242, 345.69116208525065]",166.50491949281366
6,"[111.26595145386138, 375.4773361511842]",0,"[131.0693584319242, 345.69116208525065]",35.76857689963189
6,"[196.37514604703082, 190.14048850974814]",1,"[131.0693584319242, 345.69116208525065]",168.70346157036005
6,"[39.13024914159265, 355.6799283540396]",1,"[131.0693584319242, 345.69116208525065]",92.48013445422765
6,"[201.66089467719348, 371.39804337946947]",1,"[131.0693584319242, 345.69116208525065]",75.12661802145911
6,"[194.04460588911837, 357.9659259326355]",1,"[131.0693584319242, 345.69116208525065]",64.16035863213287
6,"[106.36864527315039, 246.3211593001268]",1,"[131.0693584319242, 345.69116208525065]",102.39395824006192
6,"[242.40979715613557, 224.49886956400695]",1,"[131.0693584319242, 345.69116208525065]",164.57297792120846
6,"[208.87884019878652, 303.85469290415796]",0,"[131.0693584319242, 345.69116208525065]",88.34367892706415
6,"[197.66018684826034, 279.7084446262823]",1,"[131.0693584319242, 345.69116208525065]",93.74463948644727
6,"[186.09226696199676, 374.5935242005839]",0,"[131.0693584319242, 345.69116208525065]",62.15196697574889
6,"[141.3910942933828, 312.131276982811]",0,"[131.0693584319242, 345.69116208525065]",35.11131041819246
6,"[167.3289369656009, 367.52365638633677]",1,"[131.0693584319242, 345.69116208525065]",42.32510889350227
6,"[209.71661081999306, 369.67840209463293]",0,"[131.0693584319242, 345.69116208525065]",82.2239502302116
6,"[141.9807842220801, 181.07629170885534]",1,"[131.0693584319242, 345.69116208525065]",164.976103608406
6,"[182.45155601961338, 312.5240899619472]",0,"[131.0693584319242, 345.69116208525065]",61.157051123911664
6,"[128.15030517339028, 342.3034506740625]",1,"[131.0693584319242, 345.69116208525065]",4.471852024793744
6,"[153.30272987271957, 381.806465111963]",0,"[131.0693584319242, 345.69116208525065]",42.41035154694704
